tweet_id,file_name,completeness,content_type,text_body,username,image_text_description,likes,replies,retweets,views,time_of_post,promotional_or_irrelevant,pro_trump,hostile_to_trump,sarcastic_about_trump,ambivalent_about_trump,nationalist_pro_trump,anti_elite_pro_trump,fearful_pro_trump,optimistic_about_trump,skeptical_of_trump,disengaged_from_trump
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_1.png,1,tweet,Subscribe to Premium to write your own longer posts.\nWrite longer posts and add formatting such as bold and italic.,AlmasriNews,A promotional tweet for a premium subscription service, likely for writing longer posts on a social media platform. The image shows a person in a business suit, possibly a news anchor, with a serious expression. The overall tone is professional and informative.,10,0,0,2535,Sep 28, 2023,true,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_1.png,1,tweet,"This is ""the biggest story ever"," they would say, wouldn't you, dk.,FarhanKhan,A tweet with an image of a news anchor looking concerned, possibly in front of a news broadcast screen. The image suggests a serious news report or a discussion about a significant event. The creator likely intends to convey a sense of urgency or importance.,11,0,1,2135,2:15,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",,,,,,,,,,,,,,,,,
1839971510259249237,screenshot_10.png,1,tweet,But only one American on Feb 24, convictions and funds liable for rape is running for President.,Robert_E_P,A screenshot of a tweet, likely from a news source or political figure, discussing a specific American candidate. The image conveys a sense of seriousness and potentially criticism or concern about the candidate's background or actions. The image is likely intended to inform or persuade the viewer about the candidate.,46,6,10,13k,Sep 26, 2022,false,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_10.png,1,tweet,Khamaisa has failed the American people,Robert_E_P,A tweet expressing a negative sentiment towards a person or group, likely a political figure or a political party. The image conveys a sense of disappointment or disapproval.,46,6,10,13k,Sep 26, 2022,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1839971510259249237,screenshot_10.png,1,tweet,There were more than 28,000 troops left to risk at the attack. Base US forces and contractors have regularly targeted by Iran-backed militias.,Lkanana_Hamed22228,A tweet expressing concern about military actions and potential threats. The image conveys a sense of danger and worry about the safety of troops.,69,4,14,98k,Sep 26, 2022,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
